servedIMSI	servedMSISDN	servedIMEISV	recordOpeningTime	changeTime	dataVolumeGPRSUplink	dataVolumeGPRSDownlink	duration	durationUnit
								
								
								
123456789012345_1_1								
123456789012345_1_1								
123456789012345_1_1								
123456789012345_1_1								
123456789012345_1_1								
123456789012345_1_1								
123456789012345_1_1								
123456789012345_1_1								
123456789012345_1_1			2105110815332B0200					
123456789012345_1_1			2105110815332B0200				100	seconds
123456789012345_1_1			2105110815332B0200				100	seconds
123456789012345_1_1			2105110815332B0200				100	seconds
123456789012345_1_1			2105110815332B0200				100	seconds
123456789012345_1_1			2105110815332B0200				100	seconds
123456789012345_1_1	123456789ABCDEF001		2105110815332B0200				100	seconds
123456789012345_1_1	123456789ABCDEF001		2105110815332B0200				100	seconds
123456789012345_1_1	123456789ABCDEF001		2105110815332B0200				100	seconds
123456789012345_1_1	123456789ABCDEF001	1200034000560000	2105110815332B0200				100	seconds
123456789012345_1_1	123456789ABCDEF001	1200034000560000	2105110815332B0200				100	seconds
123456789012345_1_1	123456789ABCDEF001	1200034000560000	2105110815332B0200				100	seconds
123456789012345_1_1	123456789ABCDEF001	1200034000560000	2105110815332B0200				100	seconds
123456789012345_1_1	123456789ABCDEF001	1200034000560000	2105110815332B0200				100	seconds
123456789012345_1_1	123456789ABCDEF001	1200034000560000	2105110815332B0200				100	seconds
123456789012345_1_1	123456789ABCDEF001	1200034000560000	2105110815332B0200				100	seconds
123456789012345_1_1	123456789ABCDEF001	1200034000560000	2105110815332B0200				100	seconds
123456789012345_1_1	123456789ABCDEF001	1200034000560000	2105110815332B0200				100	seconds
123456789012345_1_1	123456789ABCDEF001	1200034000560000	2105110815332B0200				100	seconds
123456789012345_1_1	123456789ABCDEF001	1200034000560000	2105110815332B0200				100	seconds
123456789012345_1_1	123456789ABCDEF001	1200034000560000	2105110815332B0200				100	seconds
123456789012345_1_1	123456789ABCDEF001	1200034000560000	2105110815332B0200		4711		100	seconds
123456789012345_1_1	123456789ABCDEF001	1200034000560000	2105110815332B0200		4711	9999	100	seconds
123456789012345_1_1	123456789ABCDEF001	1200034000560000	2105110815332B0200		4711	9999	100	seconds
123456789012345_1_1	123456789ABCDEF001	1200034000560000	2105110815332B0200	2105110841072B0200	4711	9999	100	seconds
123456789012345_1_1	123456789ABCDEF001	1200034000560000	2105110815332B0200	2105110841072B0200	4711	9999	100	seconds
123456789012345_1_1	123456789ABCDEF001	1200034000560000	2105110815332B0200	2105110841072B0200	4711	9999	100	seconds
123456789012345_1_1	123456789ABCDEF001	1200034000560000	2105110815332B0200	2105110841072B0200	4711	9999	100	seconds
123456789012345_1_1	123456789ABCDEF001	1200034000560000	2105110815332B0200	2105110841072B0200	4711	9999	100	seconds
123456789012345_1_1	123456789ABCDEF001	1200034000560000	2105110815332B0200	2105110841072B0200	4711	9999	100	seconds
123456789012345_1_1	123456789ABCDEF001	1200034000560000	2105110815332B0200	2105110841072B0200	4711	9999	100	seconds
123456789012345_1_1	123456789ABCDEF001	1200034000560000	2105110815332B0200	2105110841072B0200	4711	9999	100	seconds
123456789012345_1_1	123456789ABCDEF001	1200034000560000	2105110815332B0200	2105110841072B0200	4711	9999	100	seconds
